ward,year,race,office,preference,ballots
57,2004,GENERAL,MAYOR,TOM BARRETT,314
57,2004,GENERAL,MAYOR,WRITE IN,2
58,2004,GENERAL,MAYOR,MARVIN PRATT,146
58,2004,GENERAL,MAYOR,TOM BARRETT,711
58,2004,GENERAL,MAYOR,WRITE IN,4
59,2004,GENERAL,MAYOR,MARVIN PRATT,75
59,2004,GENERAL,MAYOR,TOM BARRETT,406
59,2004,GENERAL,MAYOR,WRITE IN,3
60,2004,GENERAL,MAYOR,MARVIN PRATT,131
60,2004,GENERAL,MAYOR,TOM BARRETT,217
60,2004,GENERAL,MAYOR,WRITE IN,10
61,2004,GENERAL,MAYOR,MARVIN PRATT,84
61,2004,GENERAL,MAYOR,TOM BARRETT,80
61,2004,GENERAL,MAYOR,WRITE IN,1
62,2004,GENERAL,MAYOR,MARVIN PRATT,25
62,2004,GENERAL,MAYOR,TOM BARRETT,70
62,2004,GENERAL,MAYOR,WRITE IN,4
63,2004,GENERAL,MAYOR,MARVIN PRATT,40
63,2004,GENERAL,MAYOR,TOM BARRETT,101
63,2004,GENERAL,MAYOR,WRITE IN,1
64,2004,GENERAL,MAYOR,MARVIN PRATT,135
64,2004,GENERAL,MAYOR,TOM BARRETT,174
64,2004,GENERAL,MAYOR,WRITE IN,3
65,2004,GENERAL,MAYOR,MARVIN PRATT,138
65,2004,GENERAL,MAYOR,TOM BARRETT,55
65,2004,GENERAL,MAYOR,WRITE IN,1
66,2004,GENERAL,MAYOR,MARVIN PRATT,182
66,2004,GENERAL,MAYOR,TOM BARRETT,45
66,2004,GENERAL,MAYOR,WRITE IN,2
67,2004,GENERAL,MAYOR,MARVIN PRATT,306
67,2004,GENERAL,MAYOR,TOM BARRETT,73
67,2004,GENERAL,MAYOR,WRITE IN,0
68,2004,GENERAL,MAYOR,MARVIN PRATT,158
68,2004,GENERAL,MAYOR,TOM BARRETT,85
68,2004,GENERAL,MAYOR,WRITE IN,5
69,2004,GENERAL,MAYOR,MARVIN PRATT,120
69,2004,GENERAL,MAYOR,TOM BARRETT,51
69,2004,GENERAL,MAYOR,WRITE IN,0
70,2004,GENERAL,MAYOR,MARVIN PRATT,316
70,2004,GENERAL,MAYOR,TOM BARRETT,114
70,2004,GENERAL,MAYOR,WRITE IN,0
71,2004,GENERAL,MAYOR,MARVIN PRATT,341
71,2004,GENERAL,MAYOR,TOM BARRETT,105
71,2004,GENERAL,MAYOR,WRITE IN,1
72,2004,GENERAL,MAYOR,MARVIN PRATT,261
72,2004,GENERAL,MAYOR,TOM BARRETT,95
72,2004,GENERAL,MAYOR,WRITE IN,0
73,2004,GENERAL,MAYOR,MARVIN PRATT,229
73,2004,GENERAL,MAYOR,TOM BARRETT,64
73,2004,GENERAL,MAYOR,WRITE IN,0
74,2004,GENERAL,MAYOR,MARVIN PRATT,343
74,2004,GENERAL,MAYOR,TOM BARRETT,111
74,2004,GENERAL,MAYOR,WRITE IN,5
75,2004,GENERAL,MAYOR,MARVIN PRATT,278
75,2004,GENERAL,MAYOR,TOM BARRETT,207
75,2004,GENERAL,MAYOR,WRITE IN,3
76,2004,GENERAL,MAYOR,MARVIN PRATT,155
76,2004,GENERAL,MAYOR,TOM BARRETT,393
76,2004,GENERAL,MAYOR,WRITE IN,9
77,2004,GENERAL,MAYOR,MARVIN PRATT,233
77,2004,GENERAL,MAYOR,TOM BARRETT,433
77,2004,GENERAL,MAYOR,WRITE IN,4
78,2004,GENERAL,MAYOR,MARVIN PRATT,266
78,2004,GENERAL,MAYOR,TOM BARRETT,182
78,2004,GENERAL,MAYOR,WRITE IN,0
79,2004,GENERAL,MAYOR,MARVIN PRATT,214
79,2004,GENERAL,MAYOR,TOM BARRETT,227
79,2004,GENERAL,MAYOR,WRITE IN,0
80,2004,GENERAL,MAYOR,MARVIN PRATT,288
80,2004,GENERAL,MAYOR,TOM BARRETT,197
80,2004,GENERAL,MAYOR,WRITE IN,1
81,2004,GENERAL,MAYOR,MARVIN PRATT,173
81,2004,GENERAL,MAYOR,TOM BARRETT,316
81,2004,GENERAL,MAYOR,WRITE IN,6
82,2004,GENERAL,MAYOR,MARVIN PRATT,165
82,2004,GENERAL,MAYOR,TOM BARRETT,413
82,2004,GENERAL,MAYOR,WRITE IN,3
83,2004,GENERAL,MAYOR,MARVIN PRATT,186
83,2004,GENERAL,MAYOR,TOM BARRETT,234
83,2004,GENERAL,MAYOR,WRITE IN,1
84,2004,GENERAL,MAYOR,MARVIN PRATT,159
84,2004,GENERAL,MAYOR,TOM BARRETT,498
84,2004,GENERAL,MAYOR,WRITE IN,6
85,2004,GENERAL,MAYOR,MARVIN PRATT,103
85,2004,GENERAL,MAYOR,TOM BARRETT,477
85,2004,GENERAL,MAYOR,WRITE IN,3
86,2004,GENERAL,MAYOR,MARVIN PRATT,71
86,2004,GENERAL,MAYOR,TOM BARRETT,540
86,2004,GENERAL,MAYOR,WRITE IN,6
87,2004,GENERAL,MAYOR,MARVIN PRATT,59
87,2004,GENERAL,MAYOR,TOM BARRETT,452
87,2004,GENERAL,MAYOR,WRITE IN,5
88,2004,GENERAL,MAYOR,MARVIN PRATT,121
88,2004,GENERAL,MAYOR,TOM BARRETT,442
88,2004,GENERAL,MAYOR,WRITE IN,3
89,2004,GENERAL,MAYOR,MARVIN PRATT,100
89,2004,GENERAL,MAYOR,TOM BARRETT,432
89,2004,GENERAL,MAYOR,WRITE IN,11
90,2004,GENERAL,MAYOR,MARVIN PRATT,62
90,2004,GENERAL,MAYOR,TOM BARRETT,476
90,2004,GENERAL,MAYOR,WRITE IN,4
