ward,year,race,office,preference,ballots
28,2012,GENERAL,MAYOR,EDWARDCMCDONALD,11
28,2012,GENERAL,MAYOR,WRITEIN,0
29,2012,GENERAL,MAYOR,TOMBARRET,58
29,2012,GENERAL,MAYOR,EDWARDCMCDONALD,20
29,2012,GENERAL,MAYOR,WRITEIN,0
30,2012,GENERAL,MAYOR,TOMBARRET,120
30,2012,GENERAL,MAYOR,EDWARDCMCDONALD,46
30,2012,GENERAL,MAYOR,WRITEIN,1
31,2012,GENERAL,MAYOR,TOMBARRET,107
31,2012,GENERAL,MAYOR,EDWARDCMCDONALD,35
31,2012,GENERAL,MAYOR,WRITEIN,1
32,2012,GENERAL,MAYOR,TOMBARRET,286
32,2012,GENERAL,MAYOR,EDWARDCMCDONALD,133
32,2012,GENERAL,MAYOR,WRITEIN,2
33,2012,GENERAL,MAYOR,TOMBARRET,467
33,2012,GENERAL,MAYOR,EDWARDCMCDONALD,299
33,2012,GENERAL,MAYOR,WRITEIN,6
34,2012,GENERAL,MAYOR,TOMBARRET,215
34,2012,GENERAL,MAYOR,EDWARDCMCDONALD,114
34,2012,GENERAL,MAYOR,WRITEIN,0
35,2012,GENERAL,MAYOR,TOMBARRET,144
35,2012,GENERAL,MAYOR,EDWARDCMCDONALD,90
35,2012,GENERAL,MAYOR,WRITEIN,3
36,2012,GENERAL,MAYOR,TOMBARRET,133
36,2012,GENERAL,MAYOR,EDWARDCMCDONALD,35
36,2012,GENERAL,MAYOR,WRITEIN,3
37,2012,GENERAL,MAYOR,TOMBARRET,107
37,2012,GENERAL,MAYOR,EDWARDCMCDONALD,46
37,2012,GENERAL,MAYOR,WRITEIN,0
38,2012,GENERAL,MAYOR,TOMBARRET,107
38,2012,GENERAL,MAYOR,EDWARDCMCDONALD,35
38,2012,GENERAL,MAYOR,WRITEIN,0
39,2012,GENERAL,MAYOR,TOMBARRET,140
39,2012,GENERAL,MAYOR,EDWARDCMCDONALD,59
39,2012,GENERAL,MAYOR,WRITEIN,1
40,2012,GENERAL,MAYOR,TOMBARRET,121
40,2012,GENERAL,MAYOR,EDWARDCMCDONALD,39
40,2012,GENERAL,MAYOR,WRITEIN,0
41,2012,GENERAL,MAYOR,TOMBARRET,115
41,2012,GENERAL,MAYOR,EDWARDCMCDONALD,50
41,2012,GENERAL,MAYOR,WRITEIN,1
42,2012,GENERAL,MAYOR,TOMBARRET,195
42,2012,GENERAL,MAYOR,EDWARDCMCDONALD,79
42,2012,GENERAL,MAYOR,WRITEIN,1
43,2012,GENERAL,MAYOR,TOMBARRET,125
43,2012,GENERAL,MAYOR,EDWARDCMCDONALD,23
43,2012,GENERAL,MAYOR,WRITEIN,0
44,2012,GENERAL,MAYOR,TOMBARRET,213
44,2012,GENERAL,MAYOR,EDWARDCMCDONALD,60
44,2012,GENERAL,MAYOR,WRITEIN,1
45,2012,GENERAL,MAYOR,TOMBARRET,158
45,2012,GENERAL,MAYOR,EDWARDCMCDONALD,54
45,2012,GENERAL,MAYOR,WRITEIN,0
46,2012,GENERAL,MAYOR,TOMBARRET,80
46,2012,GENERAL,MAYOR,EDWARDCMCDONALD,36
46,2012,GENERAL,MAYOR,WRITEIN,0
47,2012,GENERAL,MAYOR,TOMBARRET,178
47,2012,GENERAL,MAYOR,EDWARDCMCDONALD,50
47,2012,GENERAL,MAYOR,WRITEIN,0
48,2012,GENERAL,MAYOR,TOMBARRET,108
48,2012,GENERAL,MAYOR,EDWARDCMCDONALD,39
48,2012,GENERAL,MAYOR,WRITEIN,0
49,2012,GENERAL,MAYOR,TOMBARRET,114
49,2012,GENERAL,MAYOR,EDWARDCMCDONALD,38
49,2012,GENERAL,MAYOR,WRITEIN,0
50,2012,GENERAL,MAYOR,TOMBARRET,104
50,2012,GENERAL,MAYOR,EDWARDCMCDONALD,33
50,2012,GENERAL,MAYOR,WRITEIN,0
51,2012,GENERAL,MAYOR,TOMBARRET,99
51,2012,GENERAL,MAYOR,EDWARDCMCDONALD,32
51,2012,GENERAL,MAYOR,WRITEIN,0
52,2012,GENERAL,MAYOR,TOMBARRET,172
52,2012,GENERAL,MAYOR,EDWARDCMCDONALD,51
52,2012,GENERAL,MAYOR,WRITEIN,1
53,2012,GENERAL,MAYOR,TOMBARRET,71
53,2012,GENERAL,MAYOR,EDWARDCMCDONALD,36
53,2012,GENERAL,MAYOR,WRITEIN,1
54,2012,GENERAL,MAYOR,TOMBARRET,93
54,2012,GENERAL,MAYOR,EDWARDCMCDONALD,27
54,2012,GENERAL,MAYOR,WRITEIN,0
55,2012,GENERAL,MAYOR,TOMBARRET,244
55,2012,GENERAL,MAYOR,EDWARDCMCDONALD,102
55,2012,GENERAL,MAYOR,WRITEIN,1
56,2012,GENERAL,MAYOR,TOMBARRET,183
56,2012,GENERAL,MAYOR,EDWARDCMCDONALD,57
56,2012,GENERAL,MAYOR,WRITEIN,0
57,2012,GENERAL,MAYOR,TOMBARRET,217
57,2012,GENERAL,MAYOR,EDWARDCMCDONALD,59
57,2012,GENERAL,MAYOR,WRITEIN,0
58,2012,GENERAL,MAYOR,TOMBARRET,158
58,2012,GENERAL,MAYOR,EDWARDCMCDONALD,45
58,2012,GENERAL,MAYOR,WRITEIN,0
59,2012,GENERAL,MAYOR,TOMBARRET,390
59,2012,GENERAL,MAYOR,EDWARDCMCDONALD,112
59,2012,GENERAL,MAYOR,WRITEIN,1
60,2012,GENERAL,MAYOR,TOMBARRET,210
60,2012,GENERAL,MAYOR,EDWARDCMCDONALD,69
60,2012,GENERAL,MAYOR,WRITEIN,0
61,2012,GENERAL,MAYOR,TOMBARRET,217
61,2012,GENERAL,MAYOR,EDWARDCMCDONALD,52
61,2012,GENERAL,MAYOR,WRITEIN,0
62,2012,GENERAL,MAYOR,TOMBARRET,139
62,2012,GENERAL,MAYOR,EDWARDCMCDONALD,40
62,2012,GENERAL,MAYOR,WRITEIN,0
63,2012,GENERAL,MAYOR,TOMBARRET,160
63,2012,GENERAL,MAYOR,EDWARDCMCDONALD,37
63,2012,GENERAL,MAYOR,WRITEIN,0
64,2012,GENERAL,MAYOR,TOMBARRET,280
64,2012,GENERAL,MAYOR,EDWARDCMCDONALD,89
64,2012,GENERAL,MAYOR,WRITEIN,0
65,2012,GENERAL,MAYOR,TOMBARRET,264
65,2012,GENERAL,MAYOR,EDWARDCMCDONALD,74
65,2012,GENERAL,MAYOR,WRITEIN,0
66,2012,GENERAL,MAYOR,TOMBARRET,141
66,2012,GENERAL,MAYOR,EDWARDCMCDONALD,36
66,2012,GENERAL,MAYOR,WRITEIN,2
67,2012,GENERAL,MAYOR,TOMBARRET,118
67,2012,GENERAL,MAYOR,EDWARDCMCDONALD,30
67,2012,GENERAL,MAYOR,WRITEIN,0
68,2012,GENERAL,MAYOR,TOMBARRET,250
68,2012,GENERAL,MAYOR,EDWARDCMCDONALD,94
68,2012,GENERAL,MAYOR,WRITEIN,0
69,2012,GENERAL,MAYOR,TOMBARRET,168
69,2012,GENERAL,MAYOR,EDWARDCMCDONALD,44
69,2012,GENERAL,MAYOR,WRITEIN,0
70,2012,GENERAL,MAYOR,TOMBARRET,290
70,2012,GENERAL,MAYOR,EDWARDCMCDONALD,83
70,2012,GENERAL,MAYOR,WRITEIN,1
71,2012,GENERAL,MAYOR,TOMBARRET,141
71,2012,GENERAL,MAYOR,EDWARDCMCDONALD,52
71,2012,GENERAL,MAYOR,WRITEIN,0
72,2012,GENERAL,MAYOR,TOMBARRET,214
72,2012,GENERAL,MAYOR,EDWARDCMCDONALD,73
72,2012,GENERAL,MAYOR,WRITEIN,0
73,2012,GENERAL,MAYOR,TOMBARRET,253
73,2012,GENERAL,MAYOR,EDWARDCMCDONALD,97
73,2012,GENERAL,MAYOR,WRITEIN,1
74,2012,GENERAL,MAYOR,TOMBARRET,144
74,2012,GENERAL,MAYOR,EDWARDCMCDONALD,48
74,2012,GENERAL,MAYOR,WRITEIN,0
75,2012,GENERAL,MAYOR,TOMBARRET,171
75,2012,GENERAL,MAYOR,EDWARDCMCDONALD,80
75,2012,GENERAL,MAYOR,WRITEIN,2
76,2012,GENERAL,MAYOR,TOMBARRET,137
76,2012,GENERAL,MAYOR,EDWARDCMCDONALD,67
76,2012,GENERAL,MAYOR,WRITEIN,1
77,2012,GENERAL,MAYOR,TOMBARRET,135
77,2012,GENERAL,MAYOR,EDWARDCMCDONALD,65
77,2012,GENERAL,MAYOR,WRITEIN,3
78,2012,GENERAL,MAYOR,TOMBARRET,225
78,2012,GENERAL,MAYOR,EDWARDCMCDONALD,82
78,2012,GENERAL,MAYOR,WRITEIN,4
79,2012,GENERAL,MAYOR,TOMBARRET,245
79,2012,GENERAL,MAYOR,EDWARDCMCDONALD,90
79,2012,GENERAL,MAYOR,WRITEIN,3
80,2012,GENERAL,MAYOR,TOMBARRET,352
80,2012,GENERAL,MAYOR,EDWARDCMCDONALD,146
80,2012,GENERAL,MAYOR,WRITEIN,3
81,2012,GENERAL,MAYOR,TOMBARRET,151
81,2012,GENERAL,MAYOR,EDWARDCMCDONALD,92
81,2012,GENERAL,MAYOR,WRITEIN,1
82,2012,GENERAL,MAYOR,TOMBARRET,189
82,2012,GENERAL,MAYOR,EDWARDCMCDONALD,108
82,2012,GENERAL,MAYOR,WRITEIN,2
83,2012,GENERAL,MAYOR,TOMBARRET,208
83,2012,GENERAL,MAYOR,EDWARDCMCDONALD,132
83,2012,GENERAL,MAYOR,WRITEIN,2
84,2012,GENERAL,MAYOR,TOMBARRET,175
84,2012,GENERAL,MAYOR,EDWARDCMCDONALD,77
84,2012,GENERAL,MAYOR,WRITEIN,2
85,2012,GENERAL,MAYOR,TOMBARRET,221
85,2012,GENERAL,MAYOR,EDWARDCMCDONALD,124
85,2012,GENERAL,MAYOR,WRITEIN,3
86,2012,GENERAL,MAYOR,TOMBARRET,175
86,2012,GENERAL,MAYOR,EDWARDCMCDONALD,106
86,2012,GENERAL,MAYOR,WRITEIN,0
87,2012,GENERAL,MAYOR,TOMBARRET,127
87,2012,GENERAL,MAYOR,EDWARDCMCDONALD,56
87,2012,GENERAL,MAYOR,WRITEIN,0
88,2012,GENERAL,MAYOR,TOMBARRET,169
88,2012,GENERAL,MAYOR,EDWARDCMCDONALD,81
88,2012,GENERAL,MAYOR,WRITEIN,2
89,2012,GENERAL,MAYOR,TOMBARRET,225
89,2012,GENERAL,MAYOR,EDWARDCMCDONALD,110
89,2012,GENERAL,MAYOR,WRITEIN,5
90,2012,GENERAL,MAYOR,TOMBARRET,187
90,2012,GENERAL,MAYOR,EDWARDCMCDONALD,85
90,2012,GENERAL,MAYOR,WRITEIN,2
91,2012,GENERAL,MAYOR,TOMBARRET,278
91,2012,GENERAL,MAYOR,EDWARDCMCDONALD,99
91,2012,GENERAL,MAYOR,WRITEIN,1
92,2012,GENERAL,MAYOR,TOMBARRET,310
92,2012,GENERAL,MAYOR,EDWARDCMCDONALD,132
92,2012,GENERAL,MAYOR,WRITEIN,2
93,2012,GENERAL,MAYOR,TOMBARRET,220
93,2012,GENERAL,MAYOR,EDWARDCMCDONALD,94
93,2012,GENERAL,MAYOR,WRITEIN,2
94,2012,GENERAL,MAYOR,TOMBARRET,86
94,2012,GENERAL,MAYOR,EDWARDCMCDONALD,32
94,2012,GENERAL,MAYOR,WRITEIN,0
95,2012,GENERAL,MAYOR,TOMBARRET,120
95,2012,GENERAL,MAYOR,EDWARDCMCDONALD,37
95,2012,GENERAL,MAYOR,WRITEIN,0
96,2012,GENERAL,MAYOR,TOMBARRET,263
96,2012,GENERAL,MAYOR,EDWARDCMCDONALD,67
96,2012,GENERAL,MAYOR,WRITEIN,0
97,2012,GENERAL,MAYOR,TOMBARRET,238
97,2012,GENERAL,MAYOR,EDWARDCMCDONALD,92
97,2012,GENERAL,MAYOR,WRITEIN,1
98,2012,GENERAL,MAYOR,TOMBARRET,187
98,2012,GENERAL,MAYOR,EDWARDCMCDONALD,54
98,2012,GENERAL,MAYOR,WRITEIN,0
99,2012,GENERAL,MAYOR,TOMBARRET,299
99,2012,GENERAL,MAYOR,EDWARDCMCDONALD,108
99,2012,GENERAL,MAYOR,WRITEIN,2
100,2012,GENERAL,MAYOR,TOMBARRET,188
100,2012,GENERAL,MAYOR,EDWARDCMCDONALD,77
100,2012,GENERAL,MAYOR,WRITEIN,0
101,2012,GENERAL,MAYOR,TOMBARRET,284
101,2012,GENERAL,MAYOR,EDWARDCMCDONALD,87
101,2012,GENERAL,MAYOR,WRITEIN,1
102,2012,GENERAL,MAYOR,TOMBARRET,296
102,2012,GENERAL,MAYOR,EDWARDCMCDONALD,89
102,2012,GENERAL,MAYOR,WRITEIN,1
103,2012,GENERAL,MAYOR,TOMBARRET,305
103,2012,GENERAL,MAYOR,EDWARDCMCDONALD,102
103,2012,GENERAL,MAYOR,WRITEIN,0
104,2012,GENERAL,MAYOR,TOMBARRET,314
104,2012,GENERAL,MAYOR,EDWARDCMCDONALD,97
104,2012,GENERAL,MAYOR,WRITEIN,0
105,2012,GENERAL,MAYOR,TOMBARRET,117
105,2012,GENERAL,MAYOR,EDWARDCMCDONALD,24
105,2012,GENERAL,MAYOR,WRITEIN,1
106,2012,GENERAL,MAYOR,TOMBARRET,116
106,2012,GENERAL,MAYOR,EDWARDCMCDONALD,24
106,2012,GENERAL,MAYOR,WRITEIN,0
107,2012,GENERAL,MAYOR,TOMBARRET,138
107,2012,GENERAL,MAYOR,EDWARDCMCDONALD,41
107,2012,GENERAL,MAYOR,WRITEIN,1
108,2012,GENERAL,MAYOR,TOMBARRET,203
108,2012,GENERAL,MAYOR,EDWARDCMCDONALD,52
108,2012,GENERAL,MAYOR,WRITEIN,1
109,2012,GENERAL,MAYOR,TOMBARRET,190
109,2012,GENERAL,MAYOR,EDWARDCMCDONALD,49
109,2012,GENERAL,MAYOR,WRITEIN,1
110,2012,GENERAL,MAYOR,TOMBARRET,104
110,2012,GENERAL,MAYOR,EDWARDCMCDONALD,26
110,2012,GENERAL,MAYOR,WRITEIN,1
111,2012,GENERAL,MAYOR,TOMBARRET,124
111,2012,GENERAL,MAYOR,EDWARDCMCDONALD,34
111,2012,GENERAL,MAYOR,WRITEIN,0
112,2012,GENERAL,MAYOR,TOMBARRET,166
112,2012,GENERAL,MAYOR,EDWARDCMCDONALD,58
112,2012,GENERAL,MAYOR,WRITEIN,0
113,2012,GENERAL,MAYOR,TOMBARRET,171
113,2012,GENERAL,MAYOR,EDWARDCMCDONALD,29
113,2012,GENERAL,MAYOR,WRITEIN,2
114,2012,GENERAL,MAYOR,TOMBARRET,145
114,2012,GENERAL,MAYOR,EDWARDCMCDONALD,44
114,2012,GENERAL,MAYOR,WRITEIN,0
115,2012,GENERAL,MAYOR,TOMBARRET,235
115,2012,GENERAL,MAYOR,EDWARDCMCDONALD,60
115,2012,GENERAL,MAYOR,WRITEIN,1
116,2012,GENERAL,MAYOR,TOMBARRET,111
116,2012,GENERAL,MAYOR,EDWARDCMCDONALD,26
116,2012,GENERAL,MAYOR,WRITEIN,1
117,2012,GENERAL,MAYOR,TOMBARRET,124
117,2012,GENERAL,MAYOR,EDWARDCMCDONALD,32
117,2012,GENERAL,MAYOR,WRITEIN,0
118,2012,GENERAL,MAYOR,TOMBARRET,190
118,2012,GENERAL,MAYOR,EDWARDCMCDONALD,47
118,2012,GENERAL,MAYOR,WRITEIN,0
119,2012,GENERAL,MAYOR,TOMBARRET,141
119,2012,GENERAL,MAYOR,EDWARDCMCDONALD,64
119,2012,GENERAL,MAYOR,WRITEIN,1
120,2012,GENERAL,MAYOR,TOMBARRET,96
120,2012,GENERAL,MAYOR,EDWARDCMCDONALD,50
120,2012,GENERAL,MAYOR,WRITEIN,0
121,2012,GENERAL,MAYOR,TOMBARRET,146
121,2012,GENERAL,MAYOR,EDWARDCMCDONALD,49
121,2012,GENERAL,MAYOR,WRITEIN,0
122,2012,GENERAL,MAYOR,TOMBARRET,139
122,2012,GENERAL,MAYOR,EDWARDCMCDONALD,52
122,2012,GENERAL,MAYOR,WRITEIN,0
123,2012,GENERAL,MAYOR,TOMBARRET,119
123,2012,GENERAL,MAYOR,EDWARDCMCDONALD,37
123,2012,GENERAL,MAYOR,WRITEIN,2
124,2012,GENERAL,MAYOR,TOMBARRET,128
124,2012,GENERAL,MAYOR,EDWARDCMCDONALD,30
124,2012,GENERAL,MAYOR,WRITEIN,2
125,2012,GENERAL,MAYOR,TOMBARRET,251
125,2012,GENERAL,MAYOR,EDWARDCMCDONALD,122
125,2012,GENERAL,MAYOR,WRITEIN,2
126,2012,GENERAL,MAYOR,TOMBARRET,244
126,2012,GENERAL,MAYOR,EDWARDCMCDONALD,90
126,2012,GENERAL,MAYOR,WRITEIN,2
127,2012,GENERAL,MAYOR,TOMBARRET,247
127,2012,GENERAL,MAYOR,EDWARDCMCDONALD,71
127,2012,GENERAL,MAYOR,WRITEIN,1
128,2012,GENERAL,MAYOR,TOMBARRET,207
128,2012,GENERAL,MAYOR,EDWARDCMCDONALD,59
128,2012,GENERAL,MAYOR,WRITEIN,3
129,2012,GENERAL,MAYOR,TOMBARRET,188
129,2012,GENERAL,MAYOR,EDWARDCMCDONALD,49
129,2012,GENERAL,MAYOR,WRITEIN,2
130,2012,GENERAL,MAYOR,TOMBARRET,78
130,2012,GENERAL,MAYOR,EDWARDCMCDONALD,20
130,2012,GENERAL,MAYOR,WRITEIN,0
131,2012,GENERAL,MAYOR,TOMBARRET,303
131,2012,GENERAL,MAYOR,EDWARDCMCDONALD,107
131,2012,GENERAL,MAYOR,WRITEIN,2
132,2012,GENERAL,MAYOR,TOMBARRET,458
132,2012,GENERAL,MAYOR,EDWARDCMCDONALD,143
132,2012,GENERAL,MAYOR,WRITEIN,2
133,2012,GENERAL,MAYOR,TOMBARRET,131
133,2012,GENERAL,MAYOR,EDWARDCMCDONALD,34
133,2012,GENERAL,MAYOR,WRITEIN,3
134,2012,GENERAL,MAYOR,TOMBARRET,106
134,2012,GENERAL,MAYOR,EDWARDCMCDONALD,32
134,2012,GENERAL,MAYOR,WRITEIN,3
135,2012,GENERAL,MAYOR,TOMBARRET,133
135,2012,GENERAL,MAYOR,EDWARDCMCDONALD,55
135,2012,GENERAL,MAYOR,WRITEIN,3
136,2012,GENERAL,MAYOR,TOMBARRET,133
136,2012,GENERAL,MAYOR,EDWARDCMCDONALD,34
136,2012,GENERAL,MAYOR,WRITEIN,2
137,2012,GENERAL,MAYOR,TOMBARRET,107
137,2012,GENERAL,MAYOR,EDWARDCMCDONALD,45
137,2012,GENERAL,MAYOR,WRITEIN,0
138,2012,GENERAL,MAYOR,TOMBARRET,334
138,2012,GENERAL,MAYOR,EDWARDCMCDONALD,115
138,2012,GENERAL,MAYOR,WRITEIN,4
139,2012,GENERAL,MAYOR,TOMBARRET,233
139,2012,GENERAL,MAYOR,EDWARDCMCDONALD,94
139,2012,GENERAL,MAYOR,WRITEIN,3
140,2012,GENERAL,MAYOR,TOMBARRET,102
140,2012,GENERAL,MAYOR,EDWARDCMCDONALD,36
140,2012,GENERAL,MAYOR,WRITEIN,1
141,2012,GENERAL,MAYOR,TOMBARRET,128
141,2012,GENERAL,MAYOR,EDWARDCMCDONALD,53
141,2012,GENERAL,MAYOR,WRITEIN,0
142,2012,GENERAL,MAYOR,TOMBARRET,178
142,2012,GENERAL,MAYOR,EDWARDCMCDONALD,50
142,2012,GENERAL,MAYOR,WRITEIN,0
143,2012,GENERAL,MAYOR,TOMBARRET,133
143,2012,GENERAL,MAYOR,EDWARDCMCDONALD,53
143,2012,GENERAL,MAYOR,WRITEIN,0
144,2012,GENERAL,MAYOR,TOMBARRET,100
144,2012,GENERAL,MAYOR,EDWARDCMCDONALD,51
144,2012,GENERAL,MAYOR,WRITEIN,0
145,2012,GENERAL,MAYOR,TOMBARRET,63
145,2012,GENERAL,MAYOR,EDWARDCMCDONALD,24
145,2012,GENERAL,MAYOR,WRITEIN,0
146,2012,GENERAL,MAYOR,TOMBARRET,54
146,2012,GENERAL,MAYOR,EDWARDCMCDONALD,20
146,2012,GENERAL,MAYOR,WRITEIN,1
147,2012,GENERAL,MAYOR,TOMBARRET,209
147,2012,GENERAL,MAYOR,EDWARDCMCDONALD,63
147,2012,GENERAL,MAYOR,WRITEIN,0
148,2012,GENERAL,MAYOR,TOMBARRET,179
148,2012,GENERAL,MAYOR,EDWARDCMCDONALD,53
148,2012,GENERAL,MAYOR,WRITEIN,0
149,2012,GENERAL,MAYOR,TOMBARRET,185
149,2012,GENERAL,MAYOR,EDWARDCMCDONALD,65
149,2012,GENERAL,MAYOR,WRITEIN,0
150,2012,GENERAL,MAYOR,TOMBARRET,144
150,2012,GENERAL,MAYOR,EDWARDCMCDONALD,44
150,2012,GENERAL,MAYOR,WRITEIN,0
151,2012,GENERAL,MAYOR,TOMBARRET,115
151,2012,GENERAL,MAYOR,EDWARDCMCDONALD,25
151,2012,GENERAL,MAYOR,WRITEIN,2
152,2012,GENERAL,MAYOR,TOMBARRET,70
152,2012,GENERAL,MAYOR,EDWARDCMCDONALD,24
152,2012,GENERAL,MAYOR,WRITEIN,1
153,2012,GENERAL,MAYOR,TOMBARRET,230
153,2012,GENERAL,MAYOR,EDWARDCMCDONALD,88
153,2012,GENERAL,MAYOR,WRITEIN,0
154,2012,GENERAL,MAYOR,TOMBARRET,140
154,2012,GENERAL,MAYOR,EDWARDCMCDONALD,32
154,2012,GENERAL,MAYOR,WRITEIN,0
155,2012,GENERAL,MAYOR,TOMBARRET,100
155,2012,GENERAL,MAYOR,EDWARDCMCDONALD,26
155,2012,GENERAL,MAYOR,WRITEIN,0
156,2012,GENERAL,MAYOR,TOMBARRET,192
156,2012,GENERAL,MAYOR,EDWARDCMCDONALD,56
156,2012,GENERAL,MAYOR,WRITEIN,3
157,2012,GENERAL,MAYOR,TOMBARRET,162
157,2012,GENERAL,MAYOR,EDWARDCMCDONALD,37
157,2012,GENERAL,MAYOR,WRITEIN,0
158,2012,GENERAL,MAYOR,TOMBARRET,142
158,2012,GENERAL,MAYOR,EDWARDCMCDONALD,39
158,2012,GENERAL,MAYOR,WRITEIN,1
159,2012,GENERAL,MAYOR,TOMBARRET,53
159,2012,GENERAL,MAYOR,EDWARDCMCDONALD,21
159,2012,GENERAL,MAYOR,WRITEIN,1
160,2012,GENERAL,MAYOR,TOMBARRET,143
160,2012,GENERAL,MAYOR,EDWARDCMCDONALD,38
160,2012,GENERAL,MAYOR,WRITEIN,0
161,2012,GENERAL,MAYOR,TOMBARRET,57
161,2012,GENERAL,MAYOR,EDWARDCMCDONALD,13
161,2012,GENERAL,MAYOR,WRITEIN,1
162,2012,GENERAL,MAYOR,TOMBARRET,123
162,2012,GENERAL,MAYOR,EDWARDCMCDONALD,44
162,2012,GENERAL,MAYOR,WRITEIN,0
163,2012,GENERAL,MAYOR,TOMBARRET,114
163,2012,GENERAL,MAYOR,EDWARDCMCDONALD,43
163,2012,GENERAL,MAYOR,WRITEIN,1
164,2012,GENERAL,MAYOR,TOMBARRET,169
164,2012,GENERAL,MAYOR,EDWARDCMCDONALD,58
164,2012,GENERAL,MAYOR,WRITEIN,2
165,2012,GENERAL,MAYOR,TOMBARRET,128
