Ward,Donald J. Trump ,Uninstructed Delegation,Write In ,Over Votes,Under Votes
183,84,3,2,0,2
184,80,6,1,0,3
185,100,6,1,0,4
186,171,6,3,0,5
187,28,4,1,0,1
188,24,1,0,0,0
189,23,1,0,0,0
190,22,1,1,0,0
191,2,0,0,0,0
192,6,0,0,0,0
193,8,0,1,0,1
194,3,0,0,0,0
195,5,0,0,0,1
196,10,0,0,0,0
197,4,0,0,0,0
198,21,1,0,0,1
199,7,3,1,0,0
200,9,0,0,0,0
201,3,1,0,0,1
202,36,1,1,0,0
203,60,6,1,0,1
204,57,3,1,0,3
205,50,2,2,0,1
206,59,3,1,0,1
207,86,3,0,0,1
208,92,3,1,0,5
209,78,2,0,0,0
210,71,0,0,0,2
211,71,2,0,0,2
212,85,1,0,0,3
213,64,0,0,0,1
214,29,1,0,0,0
215,11,0,0,0,0
216,14,2,0,0,0
217,31,1,2,0,0
218,44,0,0,0,0
219,21,2,0,0,1
220,29,2,0,0,2
221,63,2,0,0,0
222,12,1,1,0,0
223,27,0,0,0,3
224,10,1,0,0,5
225,11,0,0,0,0
226,5,0,0,0,0
227,14,1,0,0,0
228,10,0,0,0,0
229,3,0,0,0,0
230,10,2,2,0,1
231,12,0,1,0,1
232,3,1,0,0,0
233,3,0,1,0,0
234,9,0,0,0,0
235,72,4,2,0,4
236,11,1,0,0,0
237,6,0,0,0,0
238,13,0,0,0,0
239,12,0,0,0,2
240,21,0,0,0,0
241,48,4,0,0,1
242,50,3,0,0,4
243,79,1,1,0,5
244,44,0,1,0,2
245,56,4,0,0,0
246,77,3,0,0,4
247,48,2,1,0,3
248,68,1,2,0,1
249,22,1,0,0,1
250,8,1,0,0,1
251,14,0,1,0,0
252,23,1,0,0,0
253,10,0,0,0,0
254,16,1,0,0,0
255,7,2,0,0,0
256,8,0,0,0,0
257,21,1,0,0,0
258,55,0,1,0,1
259,28,2,0,0,1
260,34,0,0,0,2
261,62,0,0,0,3
262,123,0,0,0,4
263,51,3,0,0,3
264,156,6,1,0,1
265,74,3,0,0,2
266,116,1,1,0,4
267,70,2,0,0,2
268,204,2,0,0,5
269,113,3,1,0,4
270,129,0,2,0,5
271,221,6,1,0,9
272,198,0,0,0,5
273,88,1,0,0,4
274,97,2,1,0,3
275,176,4,2,0,7
276,210,4,0,0,3
277,186,2,0,0,7
278,82,2,0,0,4
279,120,3,0,0,1
280,173,1,2,0,11
281,83,1,0,0,2
282,16,1,0,0,0
283,63,2,0,0,3
284,31,1,0,0,2
285,18,1,0,0,1
286,34,1,0,0,0
287,46,1,0,0,2
288,100,2,1,0,4
289,49,0,0,0,5
290,32,0,1,0,1
291,37,1,0,0,2
292,51,1,0,0,0
293,82,0,1,0,1
294,70,1,0,0,1
295,73,2,0,0,1
296,100,3,0,0,2
297,70,3,0,0,2
298,49,1,1,0,1
299,106,1,0,0,4
300,85,0,0,0,4
301,106,4,1,0,0
302,97,2,1,0,2
303,143,6,1,0,8
304,105,2,0,0,3
305,92,1,1,0,1
306,78,2,2,0,1
307,97,1,0,0,2
308,56,0,0,0,0
309,154,0,0,0,3
310,27,1,0,0,0
311,68,1,0,0,3
312,155,3,0,0,2
313,250,6,0,0,5
314,122,2,0,0,3
315,179,1,0,0,8
316,93,3,0,0,7
317,100,1,2,0,1
318,0,0,0,0,0
319,0,0,0,0,0
320,1,0,0,0,0
321,6,0,0,0,0
322,5,0,0,0,0
323,7,0,0,0,1
324,6,0,0,0,0
325,18,0,0,0,1
326,0,0,0,0,0
327,0,0,0,0,0
