Ward,Tulsi Gabbard,Amy Klobuchar,John Delaney,Deval Patrick,Bernie Sanders,Andrew Yang,Pete Buttigieg,Tom Steyer,Elizabeth Warren,Michael Bennet,Michael R Bloomberg,Joe Biden,Uninstructed Delegation,Write In ,Over Votes,Under Votes 
258,0,1,0,0,83,0,0,0,2,0,1,77,0,1,0,4
259,0,0,0,0,59,1,0,0,3,1,2,65,0,0,0,4
260,1,0,0,0,48,0,4,0,3,0,1,56,0,0,0,0
261,5,0,0,0,73,0,1,0,2,0,1,89,1,0,0,1
262,1,0,0,0,147,2,1,0,8,0,1,192,1,0,0,0
263,0,2,0,0,67,1,1,0,5,0,2,93,0,0,0,2
264,3,0,0,0,134,2,1,0,8,0,2,189,2,1,0,3
265,0,1,0,0,71,1,0,0,2,0,1,97,0,0,0,1
266,4,0,0,0,72,1,1,0,3,0,0,87,0,0,0,1
267,0,2,0,1,71,0,0,0,0,0,1,109,1,1,0,5
268,2,0,0,0,129,0,2,0,1,0,3,221,1,0,0,2
269,1,0,0,0,54,1,1,0,3,0,2,149,0,0,0,1
270,1,2,0,0,64,0,0,0,3,0,1,118,2,0,0,1
271,2,2,0,1,113,1,2,0,8,0,6,258,2,1,0,3
272,2,2,0,0,67,0,1,1,2,0,1,166,2,0,1,1
273,0,1,0,0,47,0,0,0,0,0,5,94,1,0,0,1
274,0,0,1,0,33,0,0,0,2,0,1,84,0,0,0,2
275,1,0,1,0,130,0,1,0,0,0,6,163,0,0,0,3
276,1,4,0,1,151,1,4,1,6,0,3,227,1,0,0,2
277,0,3,0,0,125,2,1,2,8,0,6,204,3,1,0,4
278,1,0,0,0,62,0,1,0,1,0,3,88,0,1,0,1
279,1,2,0,0,86,1,5,0,4,1,2,146,0,0,0,1
280,3,3,1,0,184,1,4,0,18,0,7,304,1,1,0,10
281,3,0,0,0,100,1,1,0,4,0,1,106,0,0,0,2
282,0,0,0,0,22,0,0,0,1,0,3,28,0,0,0,1
283,0,1,0,0,77,2,1,0,1,0,0,81,2,2,0,2
284,1,0,0,0,72,0,0,0,2,0,3,74,0,1,0,2
285,0,0,0,0,22,0,0,0,1,0,1,14,0,0,0,0
286,0,0,0,0,37,1,0,0,2,0,2,55,0,0,0,0
287,0,1,0,0,61,0,2,0,3,0,3,68,0,0,0,0
288,0,2,0,0,141,0,1,0,9,0,3,128,2,0,0,2
289,0,1,0,0,98,0,1,0,3,0,3,70,2,0,0,2
290,0,0,0,1,64,0,0,0,1,0,0,41,1,0,0,1
291,0,2,0,0,73,0,0,0,2,0,1,48,1,2,0,0
292,1,1,0,0,112,0,0,0,4,0,1,93,0,1,0,1
293,1,1,0,1,134,0,0,0,9,0,5,126,1,1,0,1
294,0,0,0,0,125,0,4,1,11,0,3,106,2,0,0,2
295,2,0,0,0,196,0,4,0,6,0,4,133,3,0,0,1
296,3,2,0,0,218,1,0,0,8,0,3,193,0,0,0,1
297,2,5,0,0,233,1,1,0,13,0,2,203,0,1,0,2
298,3,1,0,1,168,2,2,0,12,0,2,159,2,0,0,2
299,1,1,0,0,233,0,1,0,8,0,0,188,0,2,0,1
300,4,1,0,0,325,4,5,0,19,0,7,354,0,4,0,3
301,3,5,0,0,231,2,1,0,19,1,3,189,1,1,0,4
302,1,0,0,0,127,0,2,0,5,0,2,116,1,0,0,2
303,6,2,0,0,215,2,2,0,14,0,2,233,0,1,0,7
304,2,1,2,0,119,3,3,1,12,0,2,126,0,0,0,6
305,1,0,0,0,132,0,2,1,3,0,3,148,2,0,0,2
306,1,1,0,0,64,1,0,0,3,1,2,135,0,0,0,2
307,1,0,1,0,85,1,0,0,1,1,2,116,0,0,0,1
308,1,0,0,0,48,0,0,0,3,0,2,67,1,1,0,3
309,3,1,0,0,113,1,1,0,2,0,2,179,0,0,0,6
310,0,1,0,0,18,1,1,1,1,0,1,33,0,0,0,2
311,0,0,0,0,65,0,0,0,2,2,1,85,0,1,0,3
312,1,2,0,0,100,0,0,0,3,0,3,165,0,0,0,3
313,1,3,1,0,137,2,3,0,14,2,0,274,2,0,0,2
314,0,0,0,1,48,0,4,0,0,0,3,113,0,0,0,0
315,1,0,0,0,97,2,0,0,2,0,4,201,1,0,0,2
316,4,2,0,0,64,0,2,0,2,0,0,101,0,0,0,1
317,3,1,1,0,128,2,4,0,7,0,0,131,2,0,0,2
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,5,0,0,0,0,0,0,5,1,0,0,0
321,0,0,0,0,20,0,0,0,0,0,0,11,0,0,0,0
322,1,0,0,0,12,0,0,1,0,0,1,12,0,0,0,0
323,1,0,0,0,20,0,0,0,0,0,0,21,0,0,0,1
324,0,0,0,0,7,0,0,0,1,0,0,12,0,2,0,0
325,3,1,0,0,129,1,0,0,1,0,0,57,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
