Ward,Paul Rasky,Tom Barrett,T. Anthony Zielinski,Lena Taylor,WRITE-IN ,OVER VOTES,UNDER VOTES
291,3,44,37,15,0,0,2
292,6,96,53,32,2,0,4
293,11,166,44,37,0,0,5
294,15,141,68,29,0,0,3
295,8,148,61,45,1,0,1
296,14,222,97,58,1,0,3
297,10,258,70,55,1,0,5
298,7,181,66,50,0,0,4
299,8,199,95,59,1,0,3
300,12,428,105,69,2,0,5
301,16,227,136,54,1,0,4
302,9,119,107,31,2,0,2
303,22,234,133,57,1,0,7
304,7,137,74,22,3,0,2
305,22,113,77,26,2,0,4
306,9,135,64,24,2,0,7
307,15,89,77,24,1,0,4
308,7,46,36,20,1,0,2
309,16,134,106,27,2,0,5
310,4,33,15,5,1,0,1
311,4,69,67,14,2,0,5
312,12,122,122,22,0,0,4
313,30,217,157,52,5,0,11
314,13,82,75,17,3,0,2
315,15,162,122,34,2,0,12
316,20,78,82,12,1,0,3
317,13,140,102,27,0,0,3
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,6,1,1,0,0,0
321,1,16,7,4,0,0,0
322,2,11,5,1,1,0,0
323,1,15,6,6,0,0,0
324,0,3,4,3,1,0,0
325,4,73,20,23,0,0,0
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
