Ward,Jill J Karofsky,Daniel Kelly,Write In,Over Votes,Under Votes
109,117,23,0,0,17
110,57,17,0,0,13
111,66,24,1,0,12
112,82,21,1,0,19
113,102,18,1,0,16
114,111,18,0,0,16
115,178,41,0,0,29
116,71,13,0,0,7
117,71,21,0,0,14
118,104,25,0,0,17
119,142,30,1,0,15
120,77,20,0,0,11
121,131,16,0,0,20
122,137,27,0,0,22
123,297,26,2,0,25
124,198,31,0,0,8
125,641,64,0,0,22
126,474,33,0,0,14
127,526,61,0,0,25
128,545,36,0,0,19
129,446,54,0,0,21
130,99,13,0,0,2
131,509,107,0,0,17
132,757,200,2,0,49
133,365,25,1,0,15
134,385,45,2,0,15
135,503,53,0,0,15
136,353,27,1,0,14
137,326,23,0,0,15
138,1115,48,1,1,42
139,509,52,0,0,32
140,68,20,0,0,7
141,129,32,4,0,18
142,130,30,0,0,15
143,81,15,0,0,7
144,90,13,1,0,7
145,47,6,0,0,6
146,40,8,0,0,4
147,99,40,0,0,12
148,120,22,2,0,13
149,104,28,0,0,14
150,106,39,2,0,15
151,49,13,0,0,11
152,68,18,0,0,9
153,187,34,1,0,28
154,122,29,2,0,21
155,66,13,0,0,13
156,136,45,2,0,26
157,136,26,0,0,9
158,124,29,0,0,21
159,109,24,1,0,18
160,122,43,1,0,15
161,47,7,0,0,2
162,70,17,1,0,8
163,138,24,0,0,22
164,212,56,0,0,14
165,207,56,0,0,23
166,112,27,0,0,6
167,400,68,0,0,20
168,807,136,0,0,26
169,67,18,0,0,15
170,54,12,0,0,20
171,20,8,0,0,1
172,68,18,0,0,4
173,171,29,0,0,23
174,212,39,4,0,23
175,144,23,0,0,17
176,97,23,1,0,15
177,829,134,1,0,31
178,546,96,1,0,32
179,637,63,2,0,28
180,459,75,1,0,32
181,714,147,0,0,48
182,583,92,2,0,37
183,791,130,0,0,48
184,482,138,3,0,19
185,721,155,0,0,33
186,828,253,2,0,48
187,224,47,0,0,5
188,168,36,0,0,5
189,156,45,0,0,19
190,168,34,1,0,4
191,49,4,0,0,3
192,82,10,0,0,4
193,137,24,0,0,8
194,100,20,0,0,10
195,83,19,1,0,10
196,115,34,1,0,4
197,76,11,0,0,5
198,127,47,0,0,18
199,113,32,0,0,9
200,109,20,0,0,8
201,83,7,0,0,8
202,246,58,0,0,18
203,480,97,1,0,20
204,385,85,0,0,20
205,316,64,0,0,11
206,305,89,0,0,10
207,199,103,0,0,13
208,245,112,1,0,18
209,208,112,0,0,15
210,157,85,1,0,4
211,173,94,0,0,10
212,183,111,0,0,14
213,226,73,0,0,19
214,126,35,1,0,5
215,63,18,0,0,10
216,52,24,0,0,5
217,119,43,0,0,9
218,150,62,0,0,12
219,78,37,0,0,9
220,121,41,0,0,10
221,227,101,1,0,26
222,73,19,0,0,7
223,105,42,0,0,8
224,51,29,0,0,8
225,63,24,0,0,5
226,40,13,0,0,6
227,108,29,2,0,11
228,61,19,0,0,5
229,48,15,1,0,11
230,61,33,0,0,9
231,51,18,0,0,4
232,30,12,0,0,5
233,32,8,0,0,4
234,99,19,0,0,6
235,606,114,3,0,32
236,87,22,0,0,12
237,93,15,1,0,18
238,78,22,0,0,6
239,84,22,0,0,7
240,149,32,1,0,12
241,555,66,0,0,33
242,393,71,1,0,18
243,552,123,0,0,23
244,480,63,1,0,14
245,371,80,1,0,14
246,656,104,0,0,26
247,305,65,0,0,19
248,606,87,1,0,28
249,71,36,0,0,4
250,66,19,0,0,5
251,34,23,1,0,4
252,64,36,1,0,4
253,25,12,0,0,1
254,19,14,0,0,1
255,33,20,1,0,2
256,42,20,0,0,3
257,115,36,0,0,6
258,156,68,0,0,3
259,118,42,0,0,8
260,98,47,1,0,6
261,146,83,0,0,11
262,319,160,1,0,12
263,153,72,0,0,14
264,311,186,1,0,24
265,167,83,0,0,7
266,146,139,0,0,13
267,178,84,0,0,5
268,322,239,0,0,21
269,185,138,0,0,13
270,162,161,0,0,9
271,353,270,0,0,26
272,218,223,2,0,14
273,129,113,0,0,6
274,114,107,0,0,7
275,276,208,0,0,19
276,340,263,1,0,26
277,304,231,0,0,28
278,129,111,1,0,13
279,218,149,0,0,12
280,456,239,0,0,41
281,196,105,0,0,6
282,50,19,0,0,5
283,140,92,0,0,12
284,139,40,1,0,13
285,31,24,0,0,4
286,75,55,0,0,5
287,121,67,0,0,5
288,258,131,0,0,14
289,159,66,1,0,9
290,92,45,0,0,8
291,107,56,0,0,9
292,198,58,0,0,11
293,259,97,1,0,10
294,228,90,0,0,17
295,315,98,2,0,15
296,398,121,1,0,18
297,422,102,3,0,19
298,316,82,0,0,14
299,410,131,0,0,14
300,679,122,1,0,25
301,421,143,0,0,15
302,237,118,0,0,13
303,436,188,0,0,25
304,244,137,0,0,10
305,271,108,0,0,15
306,196,96,0,0,10
307,176,120,0,0,18
308,100,70,0,0,15
309,272,185,1,0,13
310,46,36,0,0,7
311,124,93,1,0,17
312,252,181,0,0,12
313,388,305,0,0,36
314,151,140,0,0,16
315,283,208,1,0,17
316,157,113,0,0,13
317,247,135,0,0,14
318,0,0,0,0,0
319,0,0,0,0,0
320,10,1,0,0,1
321,27,8,0,0,2
322,20,9,0,0,3
323,37,12,0,0,2
324,19,6,0,0,3
325,180,31,0,0,2
326,0,0,0,0,1
327,0,0,0,0,0
